id,REF_1,REF_10,REF_11,REF_2,REF_3,REF_4,REF_5,REF_6,REF_7,REF_8,REF_9,REF_Heizungstausch,REF_Thermische_Sanierung,REF_Year,REF_COUNT
198,1,0,0,1,0,1,1,0,1,0,0,1,1,2018,5
199,0,0,,1,1,1,1,0,1,0,0,1,1,vor 2010,5
200,0,0,,0,0,1,1,0,0,0,0,1,1,2021,2
201,0,0,,1,1,0,1,0,1,0,0,1,1,2015,4
202,1,0,1,0,1,1,1,1,1,1,0,1,1,2021,8
203,0,1,,0,0,1,1,0,0,0,0,1,1,2023,3
204,0,0,0,1,0,0,1,1,1,0,0,1,1,2020,4
205,0,0,,1,1,1,1,1,1,0,0,1,1,2022,6
206,1,0,,1,0,0,1,1,0,1,0,1,1,2022,5
207,0,0,0,1,0,0,1,0,1,1,0,1,1,2017,4
208,1,1,,1,1,0,1,0,0,1,0,1,1,2021,6
209,0,0,,1,0,0,1,0,1,1,1,1,1,2023,5
210,1,0,,1,0,1,1,1,1,0,0,1,1,,6
211,0,0,0,1,0,0,1,0,1,1,1,1,1,2013,5
212,0,0,,1,0,0,1,0,0,0,0,1,1,2021,2
213,1,0,0,1,0,1,1,0,1,1,1,1,1,2015,7
214,0,0,0,0,1,0,1,0,0,1,0,1,1,2020,3
215,0,0,0,0,1,0,1,0,1,1,0,1,1,2022,4
216,1,1,0,1,0,1,1,0,0,1,0,1,1,2018,6
217,0,1,,1,1,0,1,0,1,0,0,1,1,2015,5
218,0,0,,0,0,0,1,0,0,0,0,1,0,2021,1
219,0,0,0,0,0,0,1,0,0,1,1,1,0,2022,3
220,0,0,0,0,0,0,1,0,0,1,1,1,0,2021,3
221,0,0,,0,0,0,1,0,0,0,0,1,0,2018,1
222,0,0,,0,0,0,1,0,0,1,1,1,0,2021,3
223,0,0,0,0,0,0,1,0,0,0,0,1,0,2012,1
224,0,0,0,0,0,0,1,1,1,0,,1,0,,3
225,0,0,0,0,0,0,1,0,1,0,0,1,0,vor 2010,2
226,0,0,,0,0,0,1,0,0,0,0,1,0,2021,1
227,0,0,,0,0,0,1,0,0,1,1,1,0,2023,3
228,0,0,,0,0,0,1,0,1,0,0,1,0,,2
229,0,0,0,0,0,0,1,1,1,1,0,1,0,2020,4
230,0,0,,0,0,0,1,0,0,0,0,1,0,2017,1
231,0,0,,0,0,0,1,0,0,0,0,1,0,2021,1
232,0,0,0,0,0,0,1,0,0,0,0,1,0,2020,1
233,0,0,,0,0,0,1,0,0,0,0,1,0,2020,1
234,0,0,,0,0,0,1,0,0,0,0,1,0,vor 2010,1
235,0,0,,0,0,0,1,0,0,1,1,1,0,,3
